sentence_id,lang_a,lang_b,similarity
5423,English,Kyrgyz,0.8984
5424,English,Kyrgyz,0.8664
5425,English,Kyrgyz,0.9305
5426,English,Kyrgyz,0.8927
5427,English,Kyrgyz,0.9349
5428,English,Kyrgyz,1.0
5429,English,Kyrgyz,1.0
5430,English,Kyrgyz,0.9037
5431,English,Kyrgyz,0.8428
5432,English,Kyrgyz,0.9194
5433,English,Kyrgyz,0.8282
5434,English,Kyrgyz,0.9161
5435,English,Kyrgyz,1.0
5436,English,Kyrgyz,0.8688
5437,English,Kyrgyz,0.9193
5438,English,Kyrgyz,0.9244
5439,English,Kyrgyz,0.8453
5440,English,Kyrgyz,0.8231
5441,English,Kyrgyz,0.8808
5442,English,Kyrgyz,0.932
5443,English,Kyrgyz,0.8671
5444,English,Kyrgyz,0.8443
5445,English,Kyrgyz,0.8177
5446,English,Kyrgyz,0.9534
5447,English,Kyrgyz,0.8296
5448,English,Kyrgyz,0.8797
5449,English,Kyrgyz,0.9645
5450,English,Kyrgyz,1.0
5451,English,Kyrgyz,1.0
5452,English,Kyrgyz,0.8957
5453,English,Kyrgyz,0.9435
5454,English,Kyrgyz,0.9375
5455,English,Kyrgyz,0.9046
5456,English,Kyrgyz,0.9217
5457,English,Kyrgyz,0.892
5458,English,Kyrgyz,1.0
5459,English,Kyrgyz,0.8636
5460,English,Kyrgyz,0.8611
5461,English,Kyrgyz,0.9004
5462,English,Kyrgyz,1.0
5463,English,Kyrgyz,0.8749
5464,English,Kyrgyz,0.8839
5465,English,Kyrgyz,0.9096
5466,English,Kyrgyz,1.0
5467,English,Kyrgyz,0.8336
5468,English,Kyrgyz,0.8055
5469,English,Kyrgyz,0.9305
5470,English,Kyrgyz,0.8809
5471,English,Kyrgyz,1.0
5472,English,Kyrgyz,0.928
5473,English,Kyrgyz,0.9159
5474,English,Kyrgyz,0.8984
5475,English,Kyrgyz,1.0
5476,English,Kyrgyz,0.9015
5477,English,Kyrgyz,0.9046
5478,English,Kyrgyz,0.8915
5479,English,Kyrgyz,0.8681
5480,English,Kyrgyz,0.9416
5481,English,Kyrgyz,0.8806
5482,English,Kyrgyz,0.9241
5483,English,Kyrgyz,0.8686
5484,English,Kyrgyz,0.8222
5485,English,Kyrgyz,0.8849
5486,English,Kyrgyz,0.935
5487,English,Kyrgyz,0.8801
5488,English,Kyrgyz,0.9052
5489,English,Kyrgyz,0.8726
5490,English,Kyrgyz,0.8081
5491,English,Kyrgyz,0.8724
5492,English,Kyrgyz,0.8482
5493,English,Kyrgyz,1.0
5494,English,Kyrgyz,1.0
5495,English,Kyrgyz,0.8641
5496,English,Kyrgyz,0.9015
5497,English,Kyrgyz,0.8997
5498,English,Kyrgyz,1.0
5499,English,Kyrgyz,0.9132
