sentence_id,lang,similarity
552,Chinese,0.8857
553,Chinese,0.8817
554,Chinese,0.8519
555,Chinese,0.8585
556,Chinese,0.8476
557,Chinese,0.902
558,Chinese,0.9169
559,Chinese,0.8549
560,Chinese,0.8048
561,Chinese,0.8006
562,Chinese,0.88
563,Chinese,0.8899
564,Chinese,0.8671
565,Chinese,0.7845
566,Chinese,0.9462
567,Chinese,0.7725
568,Chinese,0.9123
569,Chinese,0.8841
570,Chinese,0.8433
571,Chinese,0.816
572,Chinese,0.8672
573,Chinese,0.9173
574,Chinese,0.8089
575,Chinese,0.9224
576,Chinese,0.8652
577,Chinese,0.842
578,Chinese,0.8288
579,Chinese,0.9075
580,Chinese,0.783
581,Chinese,0.8416
582,Chinese,0.8763
583,Chinese,0.9188
584,Chinese,0.8881
585,Chinese,0.8501
586,Chinese,0.8844
587,Chinese,0.8627
588,Chinese,0.8899
589,Chinese,0.8539
590,Chinese,0.9496
591,Chinese,0.8515
592,Chinese,0.8631
593,Chinese,0.9044
594,Chinese,0.8337
595,Chinese,0.7425
596,Chinese,0.8812
597,Chinese,0.9188
598,Chinese,0.9316
599,Chinese,0.8811
600,Chinese,0.8896
601,Chinese,0.8625
602,Chinese,0.8885
603,Chinese,0.864
604,Chinese,0.92
605,Chinese,0.8447
606,Chinese,0.8075
607,Chinese,0.9068
608,Chinese,0.9064
609,Chinese,0.9515
610,Chinese,0.7964
611,Chinese,0.9105
612,Chinese,0.905
613,Chinese,0.8317
614,Chinese,0.8135
615,Chinese,0.9021
616,Chinese,0.8537
617,Chinese,0.8988
618,Chinese,0.9226
619,Chinese,0.844
620,Chinese,0.9285
621,Chinese,0.9058
622,Chinese,0.8741
623,Chinese,0.9076
624,Chinese,0.8388
625,Chinese,0.8753
626,Chinese,0.8938
627,Chinese,0.8639
628,Chinese,0.8656
629,Chinese,0.9003
630,Chinese,0.8691
631,Chinese,0.8219
632,Chinese,0.8872
633,Chinese,0.8015
634,Chinese,0.9053
635,Chinese,0.8822
636,Chinese,0.9433
637,Chinese,0.8718
638,Chinese,0.8766
639,Chinese,0.9058
640,Chinese,0.8731
641,Chinese,0.8901
642,Chinese,0.8727
643,Chinese,0.9544
644,Chinese,0.8433
645,Chinese,0.8849
646,Chinese,0.9176
647,Chinese,0.8462
648,Chinese,0.8787
649,Chinese,0.8374
650,Chinese,0.9163
651,Chinese,0.9148
652,Chinese,0.8969
653,Chinese,0.8717
654,Chinese,0.886
655,Chinese,0.8774
656,Chinese,0.8538
657,Chinese,0.8435
658,Chinese,0.9139
659,Chinese,0.9105
660,Chinese,0.9484
661,Chinese,0.8517
662,Chinese,0.8576
663,Chinese,0.8716
664,Chinese,0.915
665,Chinese,0.846
666,Chinese,0.9149
667,Chinese,0.8701
668,Chinese,0.8287
669,Chinese,0.846
670,Chinese,0.9177
671,Chinese,0.8996
672,Chinese,0.8534
673,Chinese,0.8359
674,Chinese,0.8823
675,Chinese,0.8417
676,Chinese,0.8914
677,Chinese,0.924
678,Chinese,0.8238
679,Chinese,0.8367
680,Chinese,0.8526
681,Chinese,0.8941
682,Chinese,0.873
683,Chinese,0.9025
684,Chinese,0.9051
685,Chinese,0.87
686,Chinese,0.7726
687,Chinese,0.8307
688,Chinese,0.8748
689,Chinese,0.8573
690,Chinese,0.9199
691,Chinese,0.8783
692,Chinese,0.8949
693,Chinese,0.8478
694,Chinese,0.8313
695,Chinese,0.8702
696,Chinese,0.8691
697,Chinese,0.9165
698,Chinese,0.9247
699,Chinese,0.8604
700,Chinese,0.8707
